  longitude   latitude      depth        cc    d_to_pb     ratio  thickness  ntremor     azimuth
-122.861591  47.957280  51.184939  0.997888   8.551939  0.222574   8.040446       51    0.000000
-122.861591  48.002196  41.783038  0.106445  -1.060962  0.010933  14.124735       63   45.000000
-122.861591  48.047112  42.153964  0.061672  -0.946036  0.014504  11.100441       94   63.434949
-122.861591  48.092028  41.085423  0.157251  -2.285577  0.011557  16.594131       69   71.565051
-122.861591  48.136944  43.499247  0.248081  -0.270753  0.002713  10.959440       79   75.963757
-122.861591  48.181861  44.664281  0.720243   0.494281  0.002514  11.788563       51   78.690068
-122.794522  47.732699  45.737073  1.000000   2.630073  0.058919   0.973660       35  -68.198591
-122.794522  47.777616  46.769494  0.263404   3.584494  0.034725  11.265681       48  -63.434949
-122.794522  47.822532  39.258630  0.085016  -4.043370  0.091736  18.208756       71  -56.309932
-122.794522  47.867448  37.318817  0.084085  -6.111183  0.038910   9.600024       41  -45.000000
-122.794522  47.912364  48.088855  0.028499   4.497855  0.013322  12.814994       37  -26.565051
-122.794522  47.957280  50.866350  0.838017   7.088350  0.114200   0.000000       12    0.000000
-122.794522  48.002196  53.565646  0.392417   9.577646  0.008617   7.003395       12   26.565051
-122.794522  48.047112  41.254778  0.433954  -2.989222  0.018154   2.301202       18   45.000000
-122.794522  48.092028  45.520123  0.039171   1.006123  0.012532  11.702621       22   56.309932
-122.794522  48.136944  40.291021  0.056975  -4.615979  0.017236  14.691992       27   63.434949
-122.794522  48.181861  55.530650  0.934142  10.230650  0.003616   9.390532       25   68.198591
-122.727452  47.732699  41.865844  0.303207  -2.409156  0.034890  20.310278       14  -59.036243
-122.727452  47.777616  28.966295  0.076783 -15.382705  0.029565  18.000598       23  -53.130102
-122.727452  47.822532  30.850504  0.053251 -13.620496  0.013509  19.603926       29  -45.000000
-122.727452  47.867448  32.813924  0.550919 -11.794076  0.013537   0.000000       16  -33.690068
-122.727452  47.912364        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.727452  47.957280        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.727452  48.002196        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.727452  48.047112        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.727452  48.092028        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.727452  48.136944  39.197614  0.468924  -7.041386  0.006403   0.499668       11   53.130102
-122.727452  48.181861        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  47.732699        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  47.777616  35.855521  0.056127  -9.765479  0.004936  18.163880       17  -45.000000
-122.660383  47.822532  43.999299  0.184455  -1.736701  0.013968  12.756978       11  -36.869898
-122.660383  47.867448        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  47.912364        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  47.957280        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  48.002196        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  48.047112        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  48.092028        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  48.136944        NaN       NaN        NaN       NaN        NaN        0         NaN
-122.660383  48.181861        NaN       NaN        NaN       NaN        NaN        0         NaN
