STATE,COUNT
AK,40
AL,37
AR,36
AZ,120
CA,981
CO,408
CT,83
DC,13
DE,27
FL,287
GA,78
HI,25
IA,98
ID,68
IL,259
IN,171
KS,49
KY,63
LA,37
MA,161
MD,94
ME,109
MI,402
MN,183
MO,131
MS,16
MT,86
NC,287
ND,17
NE,49
NH,77
NJ,102
NM,91
NV,43
NY,420
OH,269
OK,28
OR,323
PA,352
RI,19
SC,70
SD,23
TN,108
TX,279
UT,36
VA,238
VT,76
WA,448
WI,237
WV,24
WY,36
